# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      18.806       59.500      348.719   402494.500
      18.913       89.600      348.719   402494.500
      19.021       89.600      348.719   402494.500
      19.130      108.400      348.719   402494.500
      19.232      106.700      348.719   402494.500
      19.334       99.700      348.156   402497.500
      19.444       48.400      348.156   402497.500
      19.552       85.000      348.172   402497.500
      19.655       96.200      348.172   402497.500
      19.765       99.600      348.172   402497.500
      19.875      110.800      348.172   402497.500
      19.986       64.700      348.188   402497.500
      20.096       69.900      348.188   402497.500
      20.198       90.500      348.188   402497.500
      20.302       90.400      348.188   402497.500
      20.412       93.600      348.188   402497.500
      20.522       89.600      348.188   402497.500
      20.630      109.800      348.188   402497.500
      20.730      108.300      348.188   402497.500
      20.835       87.900      348.188   402497.500
      20.945       75.400      348.188   402497.500
      21.055       91.700      348.188   402497.500
      21.165      109.800      348.188   402497.500
      21.274       90.200      348.188   402497.500
      21.375      105.500      348.266   402497.500
      21.485       91.900      348.266   402497.500
      21.594      101.400      348.266   402497.500
      21.704       93.300      348.266   402497.500
      21.809      112.200      348.266   402497.500
      21.913       79.100      348.266   402497.500
      22.015      108.900      348.781   402497.500
      22.125       84.400      348.781   402497.500
      22.233       74.700      348.781   402497.500
      22.338      111.200      348.781   402497.500
      22.449      106.200      348.781   402497.500
      22.556       75.600      348.781   402497.500
      22.667      120.600      348.781   402497.500
      22.767       83.400      348.781   402497.500
      22.870       80.300      348.781   402497.500
      22.975      110.100      348.781   402497.500
      23.079       99.300      314.688   402449.828
      23.192      109.400      314.688   402449.828
      23.299       75.200      333.953   402479.500
      23.407       61.200      334.375   402481.500
      23.513      102.300      335.250   402481.500
      23.619       94.700      335.250   402481.500
      23.722       94.800      335.250   402481.500
      23.830       94.000      335.250   402481.500
      23.933       79.600      336.531   402481.500
      24.043       85.600      336.531   402481.500
      24.152       92.200      336.562   402481.500
      24.257       89.200      336.562   402481.500
      24.363      109.800      336.562   402481.500
      24.466       82.900      336.562   402481.500
      24.576       93.000      336.562   402481.500
      24.680      100.100      336.562   402481.500
      24.784      141.800      336.562   402481.500
      24.894      102.100      336.578   402481.500
      25.004      102.100      336.578   402481.500
      25.108       88.700      336.578   402481.500
      25.210       97.400      336.578   402481.500
      25.314       66.900      336.578   402481.500
      25.422       83.600      336.578   402481.500
      25.523      107.300      336.578   402481.500
      25.633       81.600      337.438   402483.500
      25.738       91.600      337.438   402483.500
      25.840       86.600      337.438   402483.500
      25.947      109.500      337.438   402483.500
      26.057       94.300      337.438   402483.500
      26.159       90.500      337.438   402483.500
      26.268       85.900      337.438   402483.500
      26.369       99.500      337.438   402483.500
      26.475       96.800      337.438   402483.500
      26.586      105.300      316.031   402449.828
      26.696      101.000      316.031   402449.828
      26.805       96.900      316.031   402449.828
      26.906      117.700      316.031   402449.828
      27.008      121.100      316.031   402449.828
      27.113      117.900      316.031   402449.828
      27.222       92.100      316.031   402449.828
      27.332       89.200      338.188   402482.500
      27.442       75.800      338.188   402482.500
      27.552      103.100      338.188   402482.500
      27.655      108.000      338.188   402482.500
      27.757       91.700      338.188   402482.500
      27.867       94.900      338.188   402482.500
      27.970       95.600      338.203   402482.500
      28.080       95.500      338.203   402482.500
      28.180       99.500      338.203   402482.500
      28.290      105.200      316.094   402449.828
      28.398      110.700      316.094   402449.828
      28.505       93.200      316.094   402449.828
      28.606       94.100      316.094   402449.828
      28.714      110.300      316.094   402449.828
      28.822      110.300      316.094   402449.828
      28.932      104.200      316.094   402449.828
      29.039      120.000      316.094   402449.828
      29.142       83.500      316.094   402449.828
      29.244      107.100      316.094   402449.828
      29.345       93.700      316.094   402449.828
      29.455       99.400      316.094   402449.828
      29.556       72.100      316.094   402449.828
      29.658       93.000      316.094   402449.828
      29.763      104.700      316.094   402449.828
      29.868      103.900      316.094   402449.828
      29.977       99.400      316.094   402449.828
      30.086       98.000      316.094   402449.828
      30.191      104.500      316.094   402449.828
      30.302      111.100      316.094   402449.828
      30.410       86.000      316.094   402449.828
      30.520       94.500      316.094   402449.828
      30.628      110.600      316.094   402449.828
      30.738       90.500      316.094   402449.828
      30.839      122.500      316.094   402449.828
      30.947       89.900      316.094   402449.828
      31.048       84.300      316.094   402449.828
      31.151       98.900      316.094   402449.828
      31.255       77.200      316.094   402449.828
      31.365      104.900      324.078   402470.500
      31.467       73.500      324.078   402470.500
      31.568       89.000      324.078   402470.500
      31.673       93.800      324.078   402470.500
      31.783      125.000      324.078   402470.500
      31.885       96.400      324.078   402470.500
      31.996       76.200      324.078   402470.500
      32.106      111.800      324.094   402470.500
      32.211       96.400      324.094   402470.500
      32.321       97.500      324.094   402470.500
      32.425      118.400      316.109   402449.828
      32.535       99.100      316.109   402449.828
      32.646      120.800      316.109   402449.828
      32.747       81.800      316.109   402449.828
      32.856       83.000      316.109   402449.828
      32.965       99.900      316.109   402449.828
      33.075       85.800      316.109   402449.828
      33.177      126.100      342.266   402486.500
      33.282       57.700      348.562   402492.500
      33.390       53.800      348.562   402492.500
      33.491      106.100      348.562   402492.500
      33.596       85.600      348.562   402492.500
      33.705      102.900      348.562   402492.500
      33.815      115.200      348.562   402492.500
      33.924      101.200      348.562   402492.500
      34.025      110.900      348.562   402492.500
      34.126       82.700      348.562   402492.500
      34.229       86.900      316.125   402449.828
      34.336      100.800      316.125   402449.828
      34.446       87.300      316.125   402449.828
      34.547      108.800      316.125   402449.828
      34.657      115.100      316.125   402449.828
      34.764       94.000      316.125   402449.828
      34.864       97.600      327.031   402472.500
      34.974       77.900      329.719   402474.500
      35.079      112.300      329.734   402474.500
      35.190       73.200      329.734   402474.500
      35.299       90.200      329.734   402474.500
      35.409       88.600      329.734   402474.500
      35.518      109.100      329.734   402474.500
      35.620       88.000      329.734   402474.500
      35.721      102.100      329.734   402474.500
      35.829       82.000      329.734   402474.500
      35.933      105.100      316.141   402449.828
      36.043       96.300      316.141   402449.828
      36.146      107.600      316.141   402449.828
      36.249       93.100      316.141   402449.828
      36.356       94.800      316.141   402449.828
      36.465       84.600      316.141   402449.828
      36.575       80.500      316.141   402449.828
      36.685       87.500      316.141   402449.828
      36.796       87.900      316.141   402449.828
      36.897       88.400      316.141   402449.828
      36.997       91.600      316.141   402449.828
      37.106       97.700      339.516   402483.500
      37.216       58.700      339.516   402483.500
      37.322       94.900      339.516   402483.500
      37.426       88.500      339.516   402483.500
      37.529      100.000      339.516   402483.500
      37.638       68.700      339.516   402483.500
      37.746       82.900      339.516   402483.500
      37.856      103.400      339.516   402483.500
      37.964      114.100      339.516   402483.500
      38.072      106.200      316.156   402449.828
      38.175       98.000      316.156   402449.828
      38.279       92.600      316.156   402449.828
      38.380       82.100      316.156   402449.828
      38.489       86.400      316.156   402449.828
      38.598       99.700      316.156   402449.828
      38.705       86.800      316.156   402449.828
      38.814      100.900      316.156   402449.828
      38.924       95.400      316.156   402449.828
      39.031      109.700      316.156   402449.828
      39.134      120.100      316.156   402449.828
      39.238       98.300      316.156   402449.828
      39.346      117.700      316.156   402449.828
      39.455      102.100      316.156   402449.828
      39.565      113.900      316.156   402449.828
      39.674       96.200      316.156   402449.828
      39.782       82.000      316.156   402449.828
      39.883       90.800      316.156   402449.828
      39.985       94.200      316.156   402449.828
      40.089       91.900      316.156   402449.828
      40.198       90.500      317.562   402449.828
      40.307       81.900      317.562   402449.828
      40.415       86.400      327.750   402471.500
      40.525       93.600      327.750   402471.500
      40.634       94.700      327.750   402471.500
      40.744       89.800      327.750   402471.500
      40.846       84.600      327.750   402471.500
      40.948      103.600      327.750   402471.500
      41.055      113.500      327.750   402471.500
      41.163       95.200      327.750   402471.500
      41.273       98.600      327.750   402471.500
      41.379       86.100      317.562   402449.828
      41.481       87.800      317.562   402449.828
      41.588      103.200      317.562   402449.828
      41.697       97.300      317.562   402449.828
      41.802       77.700      317.562   402449.828
      41.903       98.900      317.562   402449.828
      42.013       99.100      317.562   402449.828
      42.122       84.300      317.562   402449.828
      42.229      110.700      317.562   402449.828
      42.336      110.400      317.562   402449.828
      42.441       97.900      317.562   402449.828
      42.551      112.700      317.562   402449.828
      42.653      107.700      317.562   402449.828
      42.763       92.900      317.562   402449.828
      42.874       83.600      317.562   402449.828
      42.980       91.400      317.562   402449.828
      43.086      110.700      317.562   402449.828
      43.191       94.700      317.562   402449.828
      43.294       83.400      317.562   402449.828
      43.404      131.500      317.562   402449.828
      43.513      106.700      317.562   402449.828
      43.618       99.500      317.562   402449.828
      43.726       69.000      317.562   402449.828
      43.836       87.900      317.562   402449.828
      43.945      104.700      317.562   402449.828
      44.055      124.000      317.562   402449.828
      44.155       95.600      317.562   402449.828
      44.265       94.700      317.562   402449.828
      44.372      108.100      317.562   402449.828
      44.479       75.300      317.562   402449.828
      44.585       80.000      317.562   402449.828
      44.695      106.500      317.562   402449.828
      44.797       85.700      317.562   402449.828
      44.897       96.500      317.562   402449.828
      44.998       96.200      317.562   402449.828
      45.105       85.300      317.562   402449.828
      45.215       84.600      317.562   402449.828
      45.317       81.100      317.562   402449.828
      45.419       84.200      317.562   402449.828
      45.519       97.300      317.562   402449.828
      45.621       65.200      317.562   402449.828
      45.727       87.300      317.562   402449.828
      45.831       91.100      330.297   402474.500
      45.940      101.500      332.172   402476.500
      46.046       70.100      332.172   402476.500
      46.147       83.700      332.172   402476.500
      46.248       94.700      332.172   402476.500
      46.357       92.100      334.906   402479.500
      46.467      106.600      334.906   402479.500
      46.577       93.300      334.906   402479.500
      46.683       89.500      334.906   402479.500
      46.793      111.700      334.906   402479.500
      46.896       87.200      334.906   402479.500
      46.997       75.000      337.203   402480.500
      47.106       84.200      337.203   402480.500
      47.215       90.500      337.203   402480.500
      47.318       82.500      337.203   402480.500
      47.429      107.200      337.203   402480.500
      47.537       91.800      337.203   402480.500
      47.644      101.800      337.203   402480.500
      47.744      106.500      337.203   402480.500
      47.849       85.300      337.203   402480.500
      47.951      102.700      317.562   402449.828
      48.059       93.800      317.562   402449.828
      48.163      107.800      317.562   402449.828
      48.265       92.900      317.562   402449.828
      48.365       81.800      317.562   402449.828
      48.470       95.800      317.562   402449.828
      48.570       86.600      317.562   402449.828
      48.679      112.200      317.562   402449.828
      48.790      114.600      319.797   402469.500
      48.892      100.900      350.266   402493.500
      49.000       55.600      350.266   402493.500
      49.103       63.400      350.266   402493.500
