# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      18.288      103.200      213.688   400365.922
      18.393      123.300      214.797   400366.922
      18.498       74.500      211.469   400361.922
      18.599      124.300      211.469   400361.922
      18.704      114.900      211.625   400361.922
      18.807      130.700      211.797   400361.922
      18.909      115.000      214.641   400367.922
      19.013      123.700      214.875   400367.922
      19.118      102.500      215.000   400367.922
      19.223      160.600      215.406   400367.922
      19.325       98.200      216.984   400367.922
      19.430      138.000      216.984   400367.922
      19.532      131.200      217.312   400367.922
      19.633       99.900      212.750   400362.922
      19.738       69.900      212.750   400362.922
      19.841       94.800      212.750   400362.922
      19.947      129.300      212.750   400362.922
      20.052      127.700      212.750   400362.922
      20.157      124.400      214.828   400367.922
      20.260      122.200      215.094   400367.922
      20.362      136.500      215.547   400367.922
      20.468      124.900      215.906   400367.922
      20.573      136.900      217.719   400374.922
      20.675       98.400      216.328   400373.922
      20.780      106.600      216.938   400373.922
      20.880      139.600      217.969   400373.922
      20.981      129.800      219.547   400373.922
      21.083      118.900      220.453   400373.922
      21.188      124.100      220.531   400373.922
      21.288      132.600      220.609   400373.922
      21.394      136.500      221.047   400373.922
      21.497      114.100      220.469   400372.922
      21.602      147.100      220.594   400372.922
      21.706      137.300      221.000   400372.922
      21.812      107.000      221.125   400372.922
      21.917      119.800      221.125   400372.922
      22.019      135.200      221.203   400372.922
      22.120       97.200      221.172   400371.922
      22.225       87.200      221.172   400371.922
      22.327      133.300      221.297   400371.922
      22.433      147.800      221.453   400371.922
      22.538      143.900      224.078   400377.922
      22.639      124.500      224.266   400377.922
      22.741      136.700      224.625   400377.922
      22.845      130.200      224.859   400377.922
      22.950      110.900      225.859   400377.922
      23.055      118.800      226.922   400377.922
      23.159      127.800      226.922   400377.922
      23.261      139.300      227.016   400377.922
      23.366      109.100      227.312   400377.922
      23.471      110.400      227.312   400377.922
      23.577      152.800      227.391   400377.922
      23.678      124.800      227.391   400377.922
      23.780      114.700      227.469   400377.922
      23.888       89.700      218.906   400368.922
      23.993      102.900      218.906   400368.922
      24.098      144.400      218.906   400368.922
      24.204      108.800      218.906   400368.922
      24.308      116.400      218.906   400368.922
      24.410      153.700      218.906   400368.922
      24.515      118.400      218.906   400368.922
      24.617      120.000      218.906   400368.922
      24.718      134.700      218.906   400368.922
      24.819      150.400      218.984   400368.922
      24.920       92.900      208.984   400358.922
      25.025       90.100      208.984   400358.922
      25.127      128.100      208.984   400358.922
      25.232      126.900      208.984   400358.922
      25.334      141.100      209.250   400362.922
      25.436       96.700      211.625   400365.922
      25.538      114.800      212.594   400365.922
      25.642      134.900      213.297   400365.922
      25.743      117.200      214.734   400365.922
      25.846      114.600      214.734   400365.922
      25.951      128.200      214.734   400365.922
      26.056      123.700      210.562   400360.922
      26.159       70.800      210.578   400360.922
      26.262      127.900      210.578   400360.922
      26.368      117.200      210.578   400360.922
      26.472      150.900      211.594   400364.922
      26.574       94.500      213.547   400366.922
      26.677      122.600      213.984   400366.922
      26.779      117.700      214.562   400366.922
      26.881       95.800      212.203   400362.922
      26.985       82.300      212.234   400362.922
      27.087       95.100      212.234   400362.922
      27.193      120.400      212.234   400362.922
      27.298      147.400      212.391   400362.922
      27.403      112.200      215.000   400367.922
      27.508      136.900      215.547   400367.922
      27.609      155.400      216.453   400367.922
      27.710      135.000      216.922   400367.922
      27.814       71.700      211.953   400362.922
      27.919       99.500      211.953   400362.922
      28.020      139.300      212.109   400362.922
      28.121      144.400      214.828   400368.922
      28.224      101.000      215.062   400368.922
      28.328      111.000      215.297   400368.922
      28.434      129.500      215.672   400368.922
      28.534      111.000      216.906   400368.922
      28.639      130.600      216.906   400368.922
      28.745      146.400      217.281   400368.922
      28.846       95.100      217.500   400368.922
      28.949      118.100      217.500   400368.922
      29.050      142.700      217.500   400368.922
      29.155       79.500      209.578   400360.922
      29.258       81.100      209.578   400360.922
      29.360      133.600      209.578   400360.922
      29.463      169.100      209.578   400360.922
      29.568      108.100      212.016   400365.922
      29.673      123.000      212.406   400365.922
      29.777      120.300      212.844   400365.922
      29.879      111.400      213.812   400367.922
      29.984      126.500      212.047   400371.922
      30.084       72.000      213.531   400371.922
      30.188      105.700      214.766   400371.922
      30.294      110.800      216.641   400371.922
      30.399      107.500      217.984   400371.922
      30.504      103.100      217.984   400371.922
      30.605      139.300      218.125   400371.922
      30.709      144.800      218.906   400371.922
      30.814      105.200      218.828   400370.922
      30.920      109.000      218.828   400370.922
      31.025      117.300      218.828   400370.922
      31.130      102.800      218.953   400370.922
      31.231       95.500      218.953   400370.922
      31.332      134.500      219.062   400370.922
      31.437       91.900      208.328   400359.922
      31.538       79.300      208.328   400359.922
      31.643      139.800      208.406   400359.922
      31.749      116.900      208.672   400361.922
      31.854      118.000      210.891   400365.922
      31.956      135.900      211.875   400365.922
      32.061      134.300      212.516   400365.922
      32.166      139.100      214.125   400372.922
      32.271       89.000      213.188   400371.922
      32.375      105.800      213.984   400371.922
      32.475      131.000      214.859   400371.922
      32.581      112.200      216.641   400371.922
      32.682      135.500      218.438   400371.922
      32.787      113.600      218.438   400371.922
      32.889      136.500      219.062   400371.922
      32.989      117.000      219.812   400371.922
      33.096      108.800      218.875   400370.922
      33.201      135.100      218.875   400370.922
      33.304      126.400      219.328   400370.922
      33.405      131.500      219.328   400370.922
      33.508      104.200      219.328   400370.922
      33.613      117.000      209.234   400359.922
      33.718       89.400      209.422   400359.922
      33.820      122.700      209.422   400359.922
      33.923      152.200      209.656   400360.922
      34.028      144.700      210.203   400363.922
      34.130      101.900      212.328   400365.922
      34.235      139.400      212.625   400365.922
      34.340      129.600      213.328   400365.922
      34.446      140.800      215.609   400372.922
      34.551       82.100      214.875   400371.922
      34.657      127.800      215.578   400371.922
      34.762      122.200      216.719   400371.922
      34.867      122.800      218.078   400371.922
      34.971      105.900      218.953   400371.922
      35.076      142.000      218.953   400371.922
      35.178      136.600      218.969   400371.922
      35.283      127.300      219.000   400370.922
      35.388      105.200      219.000   400370.922
      35.491      125.500      219.000   400370.922
      35.596      118.000      219.234   400370.922
      35.701      115.900      218.344   400369.922
      35.807       81.100      207.734   400358.922
      35.912      108.200      207.734   400358.922
      36.017      138.200      207.734   400358.922
      36.123      127.800      208.188   400361.922
      36.225      103.400      210.578   400365.922
      36.329      147.600      211.016   400365.922
      36.431      128.600      212.188   400365.922
      36.532       82.100      209.469   400360.922
      36.637       82.300      209.531   400360.922
      36.739      126.600      209.609   400360.922
      36.844      137.300      209.797   400360.922
      36.948      112.300      212.391   400366.922
      37.050      120.000      212.500   400366.922
      37.152      144.600      213.266   400366.922
      37.257      111.400      213.719   400366.922
      37.363      118.700      214.688   400366.922
      37.468      136.700      214.688   400366.922
      37.573      120.400      211.828   400362.922
      37.677       79.200      208.828   400359.922
      37.782       92.700      208.828   400359.922
      37.883      107.200      208.906   400359.922
      37.988      152.100      209.422   400360.922
      38.094      117.200      212.484   400365.922
      38.199      107.300      213.156   400365.922
      38.301      150.000      213.891   400365.922
      38.405      130.500      214.609   400366.922
      38.511      123.900      218.953   400378.922
      38.613       72.800      214.922   400371.922
      38.714      116.200      216.172   400371.922
      38.815      127.500      217.734   400371.922
      38.919       99.000      218.953   400371.922
      39.020      130.100      218.953   400371.922
      39.125      113.600      219.281   400371.922
      39.228      121.800      219.578   400371.922
      39.333      115.500      218.594   400370.922
      39.436      144.100      218.594   400370.922
      39.542      118.900      218.594   400370.922
      39.647       95.200      218.875   400369.922
      39.751       96.300      218.875   400369.922
      39.853      131.300      218.875   400369.922
      39.959      126.200      219.016   400369.922
      40.064       88.700      219.266   400369.922
      40.165      126.000      222.438   400376.922
      40.271      147.200      223.188   400376.922
      40.373      141.100      223.641   400376.922
      40.478      116.800      224.797   400376.922
      40.579      120.000      226.609   400376.922
      40.684      120.600      226.609   400376.922
      40.788      124.000      226.609   400376.922
      40.888      140.900      226.609   400376.922
      40.992      117.400      220.172   400369.922
      41.097       85.900      220.172   400369.922
      41.202      140.900      220.172   400369.922
      41.307      133.400      220.172   400369.922
      41.412      103.900      220.188   400369.922
      41.514      116.700      220.188   400369.922
      41.619      165.600      220.188   400369.922
      41.722      104.900      219.188   400368.922
      41.828      149.500      219.188   400368.922
      41.933      114.300      219.188   400368.922
      42.034       76.200      209.188   400358.922
      42.139       96.800      209.219   400360.922
      42.241      145.400      209.531   400360.922
      42.346      117.100      212.250   400363.922
      42.450      118.800      212.469   400363.922
      42.551      125.700      212.750   400363.922
      42.656      138.400      213.125   400363.922
      42.758      152.200      215.031   400375.922
      42.864      106.400      217.609   400378.922
      42.968      122.500      219.469   400378.922
      43.073      105.000      221.141   400378.922
      43.177      122.100      222.984   400378.922
      43.282      127.100      225.281   400379.922
      43.388      131.800      230.141   400390.922
      43.493       93.000      231.172   400390.922
      43.599      145.100      232.672   400390.922
      43.704      147.100      234.266   400390.922
      43.808      106.700      235.797   400390.922
      43.913      120.500      231.359   400384.922
      44.016       99.700      231.578   400384.922
      44.120       97.900      231.828   400384.922
      44.221      135.700      232.203   400384.922
      44.325       91.800      232.672   400384.922
      44.430      135.300      233.562   400384.922
      44.536      119.200      233.828   400384.922
      44.641      143.500      233.828   400384.922
      44.746      124.000      233.922   400384.922
      44.848      113.400      234.281   400384.922
      44.953      124.800      233.375   400383.922
      45.055      109.700      233.375   400383.922
      45.160      142.000      233.375   400383.922
      45.266      113.700      233.375   400383.922
      45.368      118.500      233.484   400383.922
      45.471      119.400      232.484   400382.922
      45.573      127.900      232.484   400382.922
      45.674      134.400      232.484   400382.922
      45.779      115.600      232.656   400382.922
      45.880       86.500      219.812   400369.922
      45.981      109.300      219.812   400369.922
      46.083      123.200      219.812   400369.922
      46.188      137.000      219.812   400369.922
      46.293      116.800      219.875   400369.922
      46.396      129.000      219.875   400369.922
      46.502      141.700      219.953   400369.922
      46.607      116.600      219.016   400368.922
      46.712      147.000      219.016   400368.922
      46.817      126.800      219.016   400368.922
      46.919      119.700      209.359   400358.922
      47.025       73.600      209.359   400358.922
      47.127      125.600      209.594   400359.922
      47.228      131.500      209.750   400359.922
      47.333      125.700      210.281   400362.922
      47.439       70.500      210.797   400362.922
      47.540      130.400      211.312   400362.922
      47.641      151.600      211.703   400362.922
      47.744      139.000      212.859   400364.922
      47.850      106.500      215.141   400367.922
      47.951      132.300      215.141   400367.922
      48.056      165.600      215.719   400367.922
      48.158      125.600      216.828   400367.922
      48.263      143.700      216.828   400367.922
      48.368      118.900      217.031   400367.922
      48.474      119.500      217.078   400367.922
